p_t mean,f0 mean,edit dist,edit std,edit dist mv,edit std mv,cov delta,cov std,exac delta,exac std
0.2,0.8,3.11,0.859,4.93,1.693,0.066,0.055,0.044,0.042
0.2,0.8,3.18,0.684,5.29,1.92,0.078,0.056,0.052,0.044
0.2,0.9,3.04,0.799,5.09,1.893,0.066,0.038,0.04,0.033
0.2,0.9,2.78,0.832,4.45,2.142,0.056,0.042,0.032,0.03
0.2,0.9,3.0,0.787,4.62,1.748,0.066,0.043,0.042,0.026
0.2,0.9,2.92,0.77,4.21,1.824,0.06,0.037,0.037,0.027
0.2,0.9,2.92,0.757,5.03,1.694,0.032,0.021,0.025,0.019
0.2,0.9,2.99,0.806,4.79,1.966,0.049,0.038,0.034,0.027
0.2,0.9,2.89,0.747,4.57,1.951,0.051,0.025,0.028,0.021
0.2,0.9,2.99,0.728,5.24,1.996,0.034,0.026,0.021,0.026
0.2,0.9,2.7,0.911,4.56,1.774,0.032,0.029,0.025,0.016
0.2,0.9,2.87,0.796,4.99,1.942,0.033,0.028,0.024,0.021
0.2,1.0,2.95,0.792,4.86,1.876,0.051,0.053,0.035,0.038
0.2,1.0,2.82,0.829,5.0,1.939,0.039,0.018,0.027,0.02
0.2,1.0,2.95,0.74,5.22,1.906,0.04,0.043,0.033,0.031
0.2,1.0,3.05,0.684,4.71,1.867,0.053,0.051,0.034,0.039
0.2,1.0,2.87,0.77,4.6,1.806,0.058,0.039,0.041,0.019
0.2,1.0,2.98,0.8,5.1,1.987,0.035,0.024,0.023,0.022
0.2,1.0,3.0,0.849,4.86,2.064,0.049,0.035,0.032,0.023
0.2,1.0,2.87,0.783,4.66,1.856,0.049,0.032,0.032,0.023
0.2,1.0,2.97,0.78,5.56,1.663,0.033,0.025,0.033,0.016
0.2,1.0,2.8,0.762,4.05,1.768,0.062,0.025,0.037,0.017
0.3,0.0,3.29,0.637,6.46,2.188,0.058,0.066,0.057,0.052
0.3,0.0,3.33,0.633,6.41,2.035,0.054,0.075,0.056,0.058
0.3,0.0,3.37,0.643,6.68,1.891,0.051,0.073,0.055,0.056
0.3,0.0,3.26,0.642,6.52,1.884,0.065,0.07,0.067,0.051
0.3,0.0,3.32,0.598,6.29,1.835,0.058,0.072,0.063,0.055
0.3,0.0,3.36,0.575,6.46,1.774,0.055,0.06,0.061,0.047
0.3,0.0,3.31,0.659,6.21,2.146,0.043,0.054,0.047,0.042
0.3,0.0,3.28,0.584,6.16,1.748,0.055,0.083,0.053,0.061
0.3,0.0,3.24,0.65,6.02,1.743,0.056,0.071,0.057,0.056
0.3,0.0,3.28,0.618,6.32,1.76,0.054,0.066,0.056,0.052
